time,in_co2,in_co2_min,in_co2_max,in_humi,in_humi_min,in_humi_max,in_pm10,in_pm10_min,in_pm10_max,in_temp,in_temp_min,in_temp_max,in_voc,in_voc_min,in_voc_max
2021-01-01 00:00:00+00:00,541.3666666666667,532.0,552.0,29.416666666666668,28.0,30.0,15.466666666666667,14.0,17.0,1.32,0.7,1.9,402.1166666666667,363.0,433.0
2021-01-01 01:00:00+00:00,536.9,529.0,545.0,28.283333333333335,28.0,29.0,13.6,13.0,16.0,1.8746666666666667,1.0,2.29,422.9166666666667,371.0,444.0
2021-01-01 02:00:00+00:00,538.8,527.0,544.0,29.133333333333333,28.0,30.0,12.566666666666666,12.0,14.0,1.37,0.7,1.9,395.1666666666667,344.0,435.0
2021-01-01 03:00:00+00:00,536.6833333333333,531.0,543.0,28.0,28.0,28.0,12.033333333333333,11.0,13.0,1.9883333333333333,1.8,2.1,430.96666666666664,419.0,444.0
2021-01-01 04:00:00+00:00,535.5084745762712,527.0,542.0,28.220338983050848,28.0,29.0,11.474576271186441,10.0,13.0,2.048305084745763,1.7,2.29,442.3898305084746,433.0,456.0
2021-01-01 05:00:00+00:00,539.3833333333333,528.0,549.0,28.3,28.0,29.0,11.5,10.0,13.0,1.9706666666666666,1.6,2.29,483.03333333333336,443.0,543.0
2021-01-01 06:00:00+00:00,546.4833333333333,538.0,553.0,28.25,28.0,29.0,11.983333333333333,11.0,13.0,2.198666666666667,1.8,2.4,549.9166666666666,539.0,560.0
2021-01-01 07:00:00+00:00,552.0666666666667,547.0,559.0,29.0,29.0,29.0,12.383333333333333,12.0,14.0,2.0298333333333334,1.7,2.29,560.5333333333333,540.0,582.0
2021-01-01 08:00:00+00:00,554.25,547.0,562.0,28.916666666666668,28.0,29.0,12.516666666666667,12.0,14.0,2.3713333333333333,2.2,2.6,598.7166666666667,571.0,638.0
2021-01-01 09:00:00+00:00,553.5833333333334,543.0,562.0,28.133333333333333,28.0,29.0,12.6,12.0,14.0,2.691666666666667,2.4,3.0,647.9666666666667,618.0,712.0
2021-01-01 10:00:00+00:00,565.55,547.0,580.0,27.833333333333332,27.0,28.0,13.4,13.0,17.0,3.271666666666667,3.0,3.6,723.55,699.0,757.0
2021-01-01 11:00:00+00:00,569.8,561.0,578.0,27.55,27.0,28.0,13.683333333333334,13.0,14.0,3.8800000000000003,3.6,4.2,788.4666666666667,745.0,829.0
2021-01-01 12:00:00+00:00,560.35,550.0,572.0,27.966666666666665,27.0,28.0,12.966666666666667,12.0,14.0,4.5553333333333335,4.2,4.9,733.8333333333334,674.0,790.0
2021-01-01 13:00:00+00:00,548.35,537.0,562.0,28.0,28.0,28.0,12.883333333333333,12.0,14.0,5.1498333333333335,4.9,5.5,666.7166666666667,630.0,720.0
2021-01-01 14:00:00+00:00,538.85,531.0,547.0,28.183333333333334,28.0,29.0,12.55,12.0,14.0,5.628333333333333,5.5,5.8,659.65,638.0,682.0
2021-01-01 15:00:00+00:00,537.9333333333333,531.0,547.0,29.266666666666666,29.0,30.0,13.6,12.0,15.0,5.541666666666667,5.2,5.7,607.6833333333333,473.0,691.0
2021-01-01 16:00:00+00:00,536.9666666666667,529.0,545.0,30.583333333333332,30.0,32.0,14.716666666666667,13.0,16.0,5.1098333333333334,4.8,5.5,519.7,491.0,556.0
2021-01-01 17:00:00+00:00,535.3333333333334,527.0,543.0,31.116666666666667,31.0,32.0,14.966666666666667,14.0,16.0,4.87,4.7,5.0,635.6833333333333,553.0,736.0
2021-01-01 18:00:00+00:00,535.7166666666667,528.0,542.0,31.1,31.0,32.0,14.483333333333333,13.0,15.0,4.929,4.7,5.09,780.6333333333333,718.0,853.0
2021-01-01 19:00:00+00:00,541.15,534.0,548.0,31.633333333333333,31.0,33.0,15.183333333333334,14.0,17.0,4.7565,4.3,5.09,949.45,831.0,1047.0
2021-01-01 20:00:00+00:00,544.8166666666667,537.0,553.0,31.833333333333332,31.0,34.0,16.25,15.0,20.0,4.6866666666666665,4.3,4.8,1102.65,1053.0,1147.0
2021-01-01 21:00:00+00:00,550.2,543.0,563.0,33.016666666666666,32.0,34.0,17.566666666666666,16.0,20.0,4.082666666666666,3.5,4.5,963.1833333333333,703.0,1147.0
2021-01-01 22:00:00+00:00,545.7166666666667,539.0,553.0,32.95,32.0,34.0,17.7,17.0,20.0,3.6315,3.2,4.09,674.7666666666667,589.0,732.0
2021-01-01 23:00:00+00:00,543.8833333333333,536.0,553.0,31.95,31.0,33.0,20.466666666666665,18.0,23.0,3.0796666666666668,2.29,3.7,520.5333333333333,428.0,618.0
2021-01-02 00:00:00+00:00,543.0166666666667,534.0,553.0,30.716666666666665,29.0,32.0,21.133333333333333,18.0,25.0,2.533166666666667,2.2,3.1,399.1333333333333,267.0,470.0
2021-01-02 01:00:00+00:00,540.0,532.0,547.0,27.85,27.0,28.0,15.333333333333334,13.0,19.0,1.953,1.7,2.29,252.06666666666666,233.0,279.0
2021-01-02 02:00:00+00:00,536.2333333333333,530.0,545.0,27.133333333333333,27.0,28.0,12.583333333333334,11.0,15.0,1.7616666666666667,1.2,2.2,252.45,218.0,291.0
2021-01-02 03:00:00+00:00,537.4833333333333,530.0,543.0,27.033333333333335,27.0,28.0,11.933333333333334,11.0,14.0,1.1616666666666666,0.8,1.6,229.06666666666666,211.0,256.0
2021-01-02 04:00:00+00:00,535.6842105263158,527.0,543.0,26.894736842105264,26.0,27.0,11.035087719298245,10.0,14.0,1.5578947368421052,1.1,1.9,279.8070175438597,235.0,311.0
2021-01-02 05:00:00+00:00,532.2666666666667,526.0,539.0,26.583333333333332,26.0,27.0,9.65,8.0,13.0,1.62,1.2,2.1,292.6666666666667,276.0,318.0
2021-01-02 06:00:00+00:00,531.5666666666667,526.0,537.0,26.683333333333334,26.0,27.0,8.05,7.0,9.0,1.1366666666666667,0.8,1.5,281.2,255.0,306.0
2021-01-02 07:00:00+00:00,532.5666666666667,524.0,541.0,26.016666666666666,25.0,27.0,7.383333333333334,7.0,9.0,0.9433333333333334,0.4,1.5,285.81666666666666,243.0,323.0
2021-01-02 08:00:00+00:00,536.4666666666667,529.0,544.0,25.233333333333334,25.0,26.0,6.9,6.0,8.0,1.29,0.3,1.8,296.95,244.0,332.0
2021-01-02 09:00:00+00:00,535.7666666666667,526.0,543.0,25.216666666666665,25.0,26.0,6.65,6.0,8.0,1.245,0.8,1.7,290.4,247.0,353.0
2021-01-02 10:00:00+00:00,536.4,529.0,544.0,25.7,25.0,26.0,7.133333333333334,6.0,9.0,1.4916666666666667,1.1,1.7,336.65,297.0,374.0
2021-01-02 11:00:00+00:00,535.15,528.0,542.0,24.55,24.0,26.0,7.716666666666667,7.0,9.0,2.4463333333333335,1.7,3.1,336.4,299.0,389.0
2021-01-02 12:00:00+00:00,532.9666666666667,525.0,543.0,23.85,23.0,25.0,9.283333333333333,8.0,13.0,3.3616666666666664,2.9,3.8,377.6166666666667,289.0,437.0
2021-01-02 13:00:00+00:00,528.05,518.0,535.0,24.033333333333335,23.0,25.0,9.3,8.0,11.0,4.218666666666667,3.8,4.59,421.5833333333333,369.0,464.0
2021-01-02 14:00:00+00:00,525.7,518.0,531.0,23.766666666666666,23.0,24.0,12.4,10.0,16.0,4.664,4.4,5.0,382.75,321.0,424.0
2021-01-02 15:00:00+00:00,520.5333333333333,509.0,530.0,24.166666666666668,24.0,25.0,13.183333333333334,11.0,16.0,5.244,4.9,5.5,459.2,403.0,509.0
